user_id,name,email,preferred_domains,experience_level,learning_style,created_at
1,User_1,user1@movielens.edu,Computer Science,Intermediate,Visual,2025-12-16T22:28:47.457440
2,User_2,user2@movielens.edu,General,Advanced,Reading,2025-12-16T22:28:47.457440
3,User_3,user3@movielens.edu,Literature,Intermediate,Visual,2025-12-16T22:28:47.457440
4,User_4,user4@movielens.edu,Computer Science,Intermediate,Visual,2025-12-16T22:28:47.457440
5,User_5,user5@movielens.edu,General,Advanced,Reading,2025-12-16T22:28:47.457440
6,User_6,user6@movielens.edu,Business,Advanced,Visual,2025-12-16T22:28:47.457440
7,User_7,user7@movielens.edu,General,Advanced,Visual,2025-12-16T22:28:47.457440
8,User_8,user8@movielens.edu,General,Advanced,Visual,2025-12-16T22:28:47.457440
9,User_9,user9@movielens.edu,Computer Science,Intermediate,Visual,2025-12-16T22:28:47.457440
10,User_10,user10@movielens.edu,History,Advanced,Visual,2025-12-16T22:28:47.457440
11,User_11,user11@movielens.edu,General,Advanced,Reading,2025-12-16T22:28:47.457440
12,User_12,user12@movielens.edu,General,Intermediate,Reading,2025-12-16T22:28:47.457440
13,User_13,user13@movielens.edu,Education,Advanced,Visual,2025-12-16T22:28:47.457440
14,User_14,user14@movielens.edu,Physics,Advanced,Visual,2025-12-16T22:28:47.457440
15,User_15,user15@movielens.edu,Education,Advanced,Reading,2025-12-16T22:28:47.457440
16,User_16,user16@movielens.edu,Art,Intermediate,Visual,2025-12-16T22:28:47.457440
17,User_17,user17@movielens.edu,Computer Science,Intermediate,Visual,2025-12-16T22:28:47.457440
18,User_18,user18@movielens.edu,General,Advanced,Reading,2025-12-16T22:28:47.457440
19,User_19,user19@movielens.edu,General,Advanced,Visual,2025-12-16T22:28:47.457440
20,User_20,user20@movielens.edu,General,Advanced,Reading,2025-12-16T22:28:47.457440
21,User_21,user21@movielens.edu,Literature,Intermediate,Visual,2025-12-16T22:28:47.457440
22,User_22,user22@movielens.edu,Literature,Intermediate,Visual,2025-12-16T22:28:47.457440
23,User_23,user23@movielens.edu,Art,Intermediate,Reading,2025-12-16T22:28:47.457440
24,User_24,user24@movielens.edu,Art,Intermediate,Reading,2025-12-16T22:28:47.457440
25,User_25,user25@movielens.edu,Mathematics,Advanced,Visual,2025-12-16T22:28:47.457440
26,User_26,user26@movielens.edu,Mathematics,Advanced,Visual,2025-12-16T22:28:47.457440
27,User_27,user27@movielens.edu,General,Advanced,Reading,2025-12-16T22:28:47.457440
28,User_28,user28@movielens.edu,Literature,Advanced,Visual,2025-12-16T22:28:47.457440
29,User_29,user29@movielens.edu,Computer Science,Advanced,Visual,2025-12-16T22:28:47.457440
30,User_30,user30@movielens.edu,Computer Science,Beginner,Visual,2025-12-16T22:28:47.457440
31,User_31,user31@movielens.edu,Art,Intermediate,Visual,2025-12-16T22:28:47.457440
32,User_32,user32@movielens.edu,Computer Science,Intermediate,Reading,2025-12-16T22:28:47.457440
33,User_33,user33@movielens.edu,Computer Science,Intermediate,Visual,2025-12-16T22:28:47.457440
34,User_34,user34@movielens.edu,General,Advanced,Reading,2025-12-16T22:28:47.457440
35,User_35,user35@movielens.edu,General,Beginner,Reading,2025-12-16T22:28:47.457440
36,User_36,user36@movielens.edu,Computer Science,Beginner,Reading,2025-12-16T22:28:47.457440
37,User_37,user37@movielens.edu,Computer Science,Intermediate,Visual,2025-12-16T22:28:47.457440
38,User_38,user38@movielens.edu,General,Intermediate,Reading,2025-12-16T22:28:47.457440
39,User_39,user39@movielens.edu,Art,Advanced,Visual,2025-12-16T22:28:47.457440
40,User_40,user40@movielens.edu,Physics,Advanced,Visual,2025-12-16T22:28:47.457440
41,User_41,user41@movielens.edu,Mathematics,Advanced,Visual,2025-12-16T22:28:47.457440
42,User_42,user42@movielens.edu,General,Intermediate,Visual,2025-12-16T22:28:47.457440
43,User_43,user43@movielens.edu,General,Intermediate,Reading,2025-12-16T22:28:47.457440
44,User_44,user44@movielens.edu,Computer Science,Intermediate,Visual,2025-12-16T22:28:47.457440
